datetime_utc_from,datetime_utc_to,value,parameter,units,coverage_pct,observed_count,expected_count,avg,min,max
2018-05-09T22:00:00Z,2018-05-10T22:00:00Z,11.6,pm10,µg/m³,58.0,14,24,11.644285714285713,8.75,14.75
2018-05-10T22:00:00Z,2018-05-11T22:00:00Z,8.72,pm10,µg/m³,83.0,20,24,8.7215,4.13,15.23
2018-05-11T22:00:00Z,2018-05-12T22:00:00Z,11.3,pm10,µg/m³,92.0,22,24,11.288181818181817,3.28,21.28
2018-05-12T22:00:00Z,2018-05-13T22:00:00Z,5.37,pm10,µg/m³,67.0,16,24,5.364999999999999,2.05,9.18
2018-05-13T22:00:00Z,2018-05-14T22:00:00Z,12.3,pm10,µg/m³,88.0,21,24,12.25952380952381,1.8,23.83
2018-05-14T22:00:00Z,2018-05-15T22:00:00Z,23.9,pm10,µg/m³,83.0,20,24,23.871,17.23,29.9
2018-05-15T22:00:00Z,2018-05-16T22:00:00Z,28.4,pm10,µg/m³,83.0,20,24,28.381999999999998,20.78,35.5
2018-05-16T22:00:00Z,2018-05-17T22:00:00Z,28.6,pm10,µg/m³,88.0,21,24,28.55380952380952,22.0,33.43
2018-05-17T22:00:00Z,2018-05-18T22:00:00Z,22.8,pm10,µg/m³,8.0,2,24,22.765,21.58,23.95
2018-05-18T22:00:00Z,2018-05-19T22:00:00Z,20.5,pm10,µg/m³,63.0,15,24,20.483999999999995,13.63,29.0
2018-05-19T22:00:00Z,2018-05-20T22:00:00Z,18.5,pm10,µg/m³,67.0,16,24,18.464375,8.58,28.2
2018-05-20T22:00:00Z,2018-05-21T22:00:00Z,9.41,pm10,µg/m³,63.0,15,24,9.411333333333335,6.48,12.58
2018-05-21T22:00:00Z,2018-05-22T22:00:00Z,16.9,pm10,µg/m³,38.0,9,24,16.918888888888887,9.23,23.78
2018-05-22T22:00:00Z,2018-05-23T22:00:00Z,17.6,pm10,µg/m³,54.0,13,24,17.563846153846153,5.18,30.7
2018-05-23T22:00:00Z,2018-05-24T22:00:00Z,11.7,pm10,µg/m³,38.0,9,24,11.703333333333335,8.2,15.4
2018-05-24T22:00:00Z,2018-05-25T22:00:00Z,11.1,pm10,µg/m³,54.0,13,24,11.146923076923077,7.03,18.1
2018-05-25T22:00:00Z,2018-05-26T22:00:00Z,11.9,pm10,µg/m³,88.0,21,24,11.913333333333334,4.65,34.73
2018-05-26T22:00:00Z,2018-05-27T22:00:00Z,5.91,pm10,µg/m³,83.0,20,24,5.907500000000001,2.88,9.18
2018-05-27T22:00:00Z,2018-05-28T22:00:00Z,9.25,pm10,µg/m³,92.0,22,24,9.250909090909092,5.0,17.8
